Target	Source	weight	Type
R01_ES024681_55	138	0.10355603448275862	Undirected
R01_ES024681_55	151	0.3104525862068966	Undirected
R01_ES019876_56	232	0.28983644859813085	Undirected
R01_ES019876_56	258	0.24310747663551402	Undirected
R01_ES019876_56	267	0.14964953271028036	Undirected
DP2_OD007420_57	78	0.24744623655913978	Undirected
DP2_OD007420_57	92	0.440994623655914	Undirected
N01-ES75558_58	16	0.1113888888888889	Undirected
N01-ES75558_58	109	0.26694444444444443	Undirected
N01-ES75558_58	235	0.3336111111111111	Undirected
R01_ES019179_59	61	0.15892857142857142	Undirected
R01_ES019179_59	97	0.42876984126984125	Undirected
R01_ES019179_59	330	0.15892857142857142	Undirected
K23_ES017437_60	66	0.1706395348837209	Undirected
K23_ES017437_60	108	0.1628875968992248	Undirected
K23_ES017437_60	179	0.17839147286821705	Undirected
K23_ES017437_60	345	0.1318798449612403	Undirected
K23_ES017437_60	395	0.10862403100775193	Undirected
R01_ES022172_61	176	0.21793478260869567	Undirected
R01_ES022172_61	346	0.13097826086956524	Undirected
R01_ES022172_61	350	0.21793478260869567	Undirected
R01_ES015864_62	58	0.3490771812080537	Undirected
R01_ES015864_62	78	0.35578859060402684	Undirected
R01_ES015864_62	197	0.17458053691275166	Undirected
P42_ES007373_63	139	0.23171052631578948	Undirected
P42_ES007373_63	371	0.29486842105263156	Undirected
R01_ES020260_64	134	0.170125	Undirected
R01_ES020260_64	201	0.250125	Undirected
R01_ES020260_64	264	0.140125	Undirected
R01_ES020260_64	349	0.170125	Undirected
KL2_RR026315_65	179	0.12008333333333333	Undirected
KL2_RR026315_65	254	0.12008333333333333	Undirected
KL2_RR026315_65	303	0.28008333333333335	Undirected
K25_HL103970_66	82	0.5886029411764706	Undirected
K01_ES025432_67	133	0.1383130081300813	Undirected
K01_ES025432_67	157	0.2358739837398374	Undirected
K01_ES025432_67	392	0.2358739837398374	Undirected
R01_HL031197_68	85	0.15395299145299143	Undirected
R01_HL031197_68	322	0.10267094017094017	Undirected
R01_HL031197_68	353	0.27361111111111114	Undirected
P30_CA051008_69	64	0.2289285714285714	Undirected
P30_CA051008_69	269	0.2289285714285714	Undirected
P42_ES007380_70	101	0.28423295454545455	Undirected
P42_ES007380_70	102	0.18196022727272726	Undirected
P42_ES007380_70	229	0.23877840909090908	Undirected
P42_ES007380_70	276	0.10241477272727272	Undirected
K12_HD043451_71	193	0.2932112068965517	Undirected
K12_HD043451_71	237	0.2501077586206896	Undirected
R01_ES023209_72	85	0.10754132231404959	Undirected
R01_ES023209_72	237	0.14886363636363636	Undirected
R01_ES023209_72	269	0.10754132231404959	Undirected
R01_ES023209_72	321	0.10754132231404959	Undirected
R01_ES023209_72	327	0.140599173553719	Undirected
R01_ES023209_72	379	0.13233471074380165	Undirected
P42_ES010337_73	17	0.4741666666666667	Undirected
P42_ES010337_73	36	0.2223148148148148	Undirected
P42_ES010337_73	392	0.14083333333333334	Undirected
R01_CA164095_74	6	0.12373595505617976	Undirected
R01_CA164095_74	36	0.13497191011235954	Undirected
R01_CA164095_74	188	0.11249999999999999	Undirected
R01_CA164095_74	243	0.32598314606741574	Undirected
R15_ES019991_75	17	0.13923611111111112	Undirected
R15_ES019991_75	270	0.11145833333333334	Undirected
R15_ES019991_75	292	0.3892361111111111	Undirected
R15_ES019991_75	395	0.19479166666666667	Undirected
P01_ES011860_76	85	0.27439516129032254	Undirected
P01_ES011860_76	88	0.27439516129032254	Undirected
P01_ES011860_76	347	0.2905241935483871	Undirected
P01_CA090890_77	271	0.4268333333333334	Undirected
P01_CA090890_77	311	0.12016666666666666	Undirected
R44_ES021973_78	239	0.28983644859813085	Undirected
R44_ES021973_78	314	0.3085280373831776	Undirected
P30_AR066527_79	39	0.2246173469387755	Undirected
P30_AR066527_79	81	0.2858418367346939	Undirected
P30_AR066527_79	393	0.23482142857142857	Undirected
P20_GM103549_80	303	0.3984756097560976	Undirected
R01_ES017039_81	44	0.15205696202531643	Undirected
R01_ES017039_81	48	0.1267405063291139	Undirected
R01_ES017039_81	58	0.11408227848101266	Undirected
R01_ES017039_81	342	0.2533227848101266	Undirected
R01_ES016746_82	66	0.1193452380952381	Undirected
R01_ES016746_82	82	0.1193452380952381	Undirected
R01_ES016746_82	387	0.3574404761904762	Undirected
P20_MD003373_83	134	0.10967465753424657	Undirected
P20_MD003373_83	331	0.3630993150684932	Undirected
R01_ES010165_84	183	0.36240942028985507	Undirected
R01_ES010165_84	380	0.23922101449275365	Undirected
P30_ES007048_85	31	0.12746815286624202	Undirected
P30_ES007048_85	222	0.4013535031847134	Undirected
P30_ES007048_85	310	0.22937898089171976	Undirected
R15_ES023148_86	65	0.14301948051948052	Undirected
R15_ES023148_86	151	0.2599025974025974	Undirected
R15_ES023148_86	292	0.11704545454545454	Undirected
R15_ES023148_86	325	0.19496753246753246	Undirected
K01_ES025434_87	276	0.1320054945054945	Undirected
K01_ES025434_87	342	0.17596153846153845	Undirected
K01_ES025434_87	351	0.4836538461538462	Undirected
P01_CA160032_88	23	0.10322164948453608	Undirected
P01_CA160032_88	179	0.13414948453608247	Undirected
P01_CA160032_88	274	0.4743556701030928	Undirected
R01ES021367_89	21	0.17768691588785046	Undirected
R01ES021367_89	136	0.28983644859813085	Undirected
R01ES021367_89	292	0.20572429906542056	Undirected
R01_ES016336_90	64	0.12291666666666666	Undirected
R01_ES016336_90	70	0.2369517543859649	Undirected
R01_ES016336_90	186	0.13168859649122808	Undirected
R01_ES016336_90	216	0.2544956140350877	Undirected
R01_ES016336_90	333	0.13168859649122808	Undirected
